"Ano";"valor"
"1963";"0,00"
"1964";"0,01"
"1965";"0,02"
"1966";"0,02"
"1967";"0,03"
"1968";"0,04"
"1969";"0,06"
"1970";"0,07"
"1971";"0,09"
"1972";"0,13"
"1973";"0,19"
"1974";"0,27"
"1975";"0,38"
"1976";"0,59"
"1977";"0,91"
"1978";"1,32"
"1979";"2,17"
"1980";"4,55"
"1981";"8,73"
"1982";"17,70"
"1983";"39,78"
"1984";"126,50"
"1985";"475,53"
"1986";"1273,68"
"1987";"4037,81"
"1988";"29375,63"
"1989";"425595,31"
"1990";"11548794,55"
"1991";"60285999,27"
"1992";"640958767,64"
"1993";"14097114181,82"
"1994";"349204679181,00"
"1995";"705991552860,92"
"1996";"854763607812,40"
"1997";"952089196088,81"
"1998";"1002351019213,48"
"1999";"1087710456053,99"
"2000";"1199092070940,21"
"2001";"1315755467830,93"
"2002";"1488787255158,37"
"2003";"1717950396424,49"
"2004";"1957751212962,56"
"2005";"2170584503475,77"
"2006";"2409449921542,59"
"2007";"2720262937561,29"
"2008";"3109803088949,22"
"2009";"3333039355180,97"
"2010";"3885846999836,84"
"2011";"4376381999853,76"
"2012";"4814759999634,49"
"2013";"5331618999627,08"
"2014";"5778953000008,59"
"2015";"5995786999726,30"
"2016";"6269328000659,18"
"2017";"6585479000139,78"
"2018";"7004140999893,37"
"2019";"7389130999453,28"
"2020";"7609597000575,82"
"2021";"9012141999284,48"
"2022";"10079676679176,00"
"2023";"10856112278657,20"
